StationId,StationTitle,OfficialWebsite,StreamURL
10,Radio Zin B'ladi,https://zin-bladi.ma,https://asmaki.ma:8000/radio.mp3
11,Qoran,https://www.admn.ae/en/brand/4197608/quran-kareem,
12,Medina FM,https://medinafm.ma,https://medinafm.ice.infomaniak.ch/medinafm-128.mp3
13,Chada FM,https://chadafm.ma,https://stream.bodkas.com/playlist?id=chadafmradio
14,Rim Radio,https://rimradio.ma,https://streaming.rimradio.ma/live#aud
15,Medi 1 Radio,https://medi1.com,https://streaming2.medi1tv.com/webradio/radio_mag.stream_aac/chunklist_w1607380952.m3u8
16,Al-Jazeera,https://aljazeera.com,https://live-hls-audio-web-aja.getaj.net/VOICE-AJA/01.m3u8
17,Med Radio,https://medradio.ma/,
18,Radio 2M,https://radio2m.ma,https://cdn-globecast.akamaized.net/live/eds/radio_2m/radio_hls_ts_hy217612tge1f21j83/radio_2m-mp4a_130400=1.m3u8
19,Radio Chaine Inter,https://snrtlive.ma/chaine-inter,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_chaine_inter/hls_snrt_radio/radio_chaine_inter-mp4a_130400_qad=1.m3u8
20,Idaa Al Watania,https://snrtlive.ma/ar/alidaa-alwatania,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_idaa_watanya/hls_snrt_radio/index.m3u8
21,Assadissa SNRT,https://snrtlive.ma/assadissa,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_mohammed_6/hls_snrt_radio/radio_mohammed_6-mp4a_130400_qad=1.m3u8
22,Amazighia SNRT,https://snrtlive.ma/ar/alidaa-alamazighia,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_amazigh/hls_snrt_radio/radio_amazigh-mp4a_130400_qad=1.m3u8
23,Meknes snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_meknes/hls_snrt_radio/radio_meknes-mp4a_130400_qad=1.m3u8
24,Fes snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_fes/hls_snrt_radio/radio_fes-mp4a_130400_qad=1.m3u8
25,Tetouan snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_tetouan/hls_snrt_radio/radio_tetouan-mp4a_130400_qad=1.m3u8
26,Tanger snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_tanger/hls_snrt_radio/radio_tanger-mp4a_130400_qad=1.m3u8
27,Marrakech snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_marrakech/hls_snrt_radio/radio_marrakech-mp4a_130400_qad=1.m3u8
28,Casablanca snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_casa/hls_snrt_radio/radio_casa-mp4a_130400_ara=1.m3u8
29,Oujda snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_oujda/hls_snrt_radio/radio_oujda-mp4a_130400_qad=1.m3u8
30,Dakhla snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_dakhla/hls_snrt_radio/radio_dakhla-mp4a_130400_qad=1.m3u8
31,Agadir snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_agadir/hls_snrt_radio/radio_agadir-mp4a_130400_qad=1.m3u8
32,Hoceima snrt,https://snrtlive.ma/fr/radio-regionale,https://cdnamd-hls-globecast.akamaized.net/live/ramdisk/radio_el_hoceima/hls_snrt_radio/radio_el_hoceima-mp4a_130400_qad=1.m3u8
33,Monte Carlo,https://www.mc-doualiya.com/%D8%A7%D9%84%D8%A8%D8%AB-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B4%D8%B1,https://montecarlodoualiya128k.ice.infomaniak.ch/mc-doualiya.mp3
34,Atlantic Radio,https://atlanticradio.ma,https://atlantic-sonic.nindohost.net:9300/stream#aud
35,MFM Radio,https://mfmradio.ma,https://a5.asurahosting.com:7980/radio.mp3
36,Radio Mars,https://radiomars.ma,http://radiomars.ice.infomaniak.ch/radiomars-128.mp3
37,Aswat,https://aswat.ma,https://aswat.ice.infomaniak.ch/aswat-high.mp3
38,Cap Radio,https://capradio.ma,https://listen.radioking.com/radio/710810/stream/776366#aud
39,Manarat Edu,https://manaratedu.ma,https://listen.radioking.com/radio/252934/stream/297385#aud
40,Hit Radio,https://hitradio.ma,https://hitradio-maroc.ice.infomaniak.ch/hitradio-maroc-128.mp3
41,Hit Radio Mgharba,https://hitradio.ma,http://mgharba.ice.infomaniak.ch/mgharba-128.mp3
42,Hit Radio Classic,https://hitradio.ma,https://gold.ice.infomaniak.ch/gold-128.mp3
43,Hit Radio Tiktok,https://hitradio.ma,https://buzz.ice.infomaniak.ch/buzz-128.mp3
44,Hit Radio Party,https://hitradio.ma,http://dancefloor.ice.infomaniak.ch/dancefloor-128.mp3
45,Hit Radio Urban,https://hitradio.ma,https://rnb.ice.infomaniak.ch/rnb-128.mp3
46,Hit Radio WayWay,https://hitradio.ma,https://wayway.ice.infomaniak.ch/wayway-128.mp3
47,Urban 80's,https://uradio.ma/,https://u80.ice.infomaniak.ch/u80-128.aac
48,Urban Dance,https://uradio.ma/,https://udance.ice.infomaniak.ch/udance-128.aac
49,Urban,https://uradio.ma/,https://urban.ice.infomaniak.ch/urban-128.aac
50,Urban Radio,https://uradio.ma/,https://uradio-aac.ice.infomaniak.ch/uradio.aac
51,Urban PoP,https://uradio.ma/,https://upop.ice.infomaniak.ch/upop-128.aac
52,Urban 90's,https://uradio.ma/,https://u90.ice.infomaniak.ch/u90-128.aac
53,Radio Star,https://radiostarmaroc.com/,https://a2.asurahosting.com:6100/radio.mp3
54,Radio Soleil,https://radiosoleil.bilsimaging.com/,https://radiosoleil.ice.infomaniak.ch/radiosoleil-128.mp3
55,Radio Only Ray,https://onlyrai.ma,http://broadcast.infomaniak.net/onlyrai-high.mp3
56,NRJ Maroc,https://www.nrjmaroc.com/,https://scdn.nrjaudio.fm/adwz1/ma/55820/aac_64.mp3?origine=nrjmaroc.com
57,Radio Sawa,https://radiosawa.net,https://mbnv-audio-ingest.akamaized.net/hls/live/2038905/MBNV_SAWA_LEVANT_AUDIO_HLS/master_11.m3u8
58,Moroccan Voice,https://moroccanvoice.com,http://channel0.moroccanvoice.com:8000/;stream/1
59,Chabab Maroc,https://chababmaroc.ma,http://streaming.radionomy.com/jeunesradioma#aud
60,Nass Radio,https://nessradio.ma,https://radio.nessradio.net:8212/nessradio#aud
61,Plus Casablanca,https://teleplus.ma,http://rpc.ice.infomaniak.ch/rpc-casa.mp3
